time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,AtoBSpeed,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,BtoASpeed,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,AtoCSpeed,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,BtoCSpeed,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF,CtoCrightSpeed
1668,2,0.32434052757793763,0.55,0,4.947583081570998,0,4.947583081570998,22.28364522479444,0.32673860911270985,12.978127998475516,0,4.947583081570998,0,4.947583081570998,26.565651199551937,0.3245350929814037,10.886237940400186,0,16.31728971962617,0,4.947583081570998,42.47676147692584,0.3173365326934613,9.657986761134085,0,16.31728971962617,0,4.947583081570998,22.13197031073668,0.32213557288542294,13.067069761055256,0,16.31728971962617,0,16.31728971962617,8.254612672778741,0.4793041391721656,11.935145100737394
1669,2,0.32474535650089875,0.55,0,5.174320241691844,0,5.174320241691844,21.837743028003004,0.32673860911270985,13.243126802488364,0,5.174320241691844,0,5.174320241691844,27.214046773617536,0.32474535650089875,10.626864957120706,0,16.544548286604364,0,5.174320241691844,38.56490986345182,0.31755542240862794,10.63764965230184,0,16.544548286604364,0,5.174320241691844,22.008249777158262,0.32213557288542294,13.140526980939322,0,16.544548286604364,0,16.544548286604364,7.7169204538254865,0.4793289394847214,12.76675075109281
1670,2,0.3251497005988024,0.55,0,5.40105740181269,0,5.40105740181269,21.73980135148513,0.32673860911270985,13.30278944707301,0,5.40105740181269,0,5.40105740181269,26.503191830820157,0.3251497005988024,10.911893248408433,0,16.771806853582557,0,5.40105740181269,37.106965047092444,0.31755542240862794,11.055606393014479,0,16.771806853582557,0,5.40105740181269,21.977468286605188,0.3221556886227545,13.15893151242818,0,16.771806853582557,0,16.771806853582557,7.953519437864728,0.4793289394847214,12.386969161220728
1671,2,0.3249551166965889,0.55,0,5.627794561933536,0,5.627794561933536,22.007633422496756,0.3267504488330341,13.140894999840032,0,5.627794561933536,0,5.627794561933536,25.390006862484924,0.3251497005988024,11.390308067514084,0,16.99906542056075,0,5.627794561933536,35.655421347326424,0.31755542240862794,11.505683694038336,0,16.99906542056075,0,5.627794561933536,22.170025864422172,0.3221556886227545,13.044639720700548,0,16.99906542056075,0,16.99906542056075,8.279700326482034,0.4793536804308797,11.898981377972191
1672,2,0.3253588516746411,0.55,0,5.854531722054382,0,5.854531722054382,21.548519771131208,0.3267504488330341,13.420875450918187,0,5.854531722054382,0,5.854531722054382,24.622445687975997,0.3253588516746411,11.745380766185484,0,17.226323987538944,0,5.854531722054382,34.01090408169212,0.31758373205741625,12.062013965128024,0,17.226323987538944,0,5.854531722054382,21.928068747939378,0.3221556886227545,13.188575944572259,0,17.226323987538944,0,17.226323987538944,7.92960464072708,0.4793536804308797,12.424326869210281
1673,2,0.3251643753735804,0.55,0,6.081268882175228,0,6.081268882175228,22.00600449676985,0.3267504488330341,13.141867713534738,0,6.081268882175228,0,6.081268882175228,23.473716958699363,0.3253588516746411,12.320162184320044,0,17.453582554517137,0,6.081268882175228,33.143299703949864,0.31758373205741625,12.377765752488111,0,17.453582554517137,0,6.081268882175228,21.83124427009172,0.32217573221757323,13.247069036564126,0,17.453582554517137,0,17.453582554517137,8.521338070156263,0.4793536804308797,11.561564532340324
1674,2,0.3255675029868578,0.55,0,6.308006042296074,0,6.308006042296074,21.73022385633574,0.3267622461170848,13.308652589682357,0,6.308006042296074,0,6.308006042296074,22.809554451631698,0.3255675029868578,12.678897372294436,0,17.68084112149533,0,6.308006042296074,31.730929503724454,0.31780167264038234,12.928710454317061,0,17.68084112149533,0,6.308006042296074,21.78183493028437,0.32217573221757323,13.277118338543225,0,17.68084112149533,0,17.68084112149533,8.316200717837996,0.47909199522102747,11.846755909664086
1675,2,0.3253731343283582,0.55,0,6.534743202416919,0,6.534743202416919,21.767505784229883,0.3267622461170848,13.28585841973312,0,6.534743202416919,0,6.534743202416919,22.049812026036044,0.3255675029868578,13.115758068981156,0,17.908099688473524,0,6.534743202416919,32.28919601567375,0.31780167264038234,12.705178530950791,0,17.908099688473524,0,6.534743202416919,21.88332675950503,0.32238805970149254,13.215540908302978,0,17.908099688473524,0,17.908099688473524,8.550436515357562,0.47940298507462686,11.522218757258393
1676,2,0.32577565632458233,0.55,0,6.761480362537766,0,6.761480362537766,21.71630893412157,0.3267622461170848,13.317180229721124,0,6.761480362537766,0,6.761480362537766,22.074054280313604,0.32577565632458233,13.101354029826702,0,6.761480362537766,0,6.761480362537766,31.64743632971066,0.318019093078759,12.962819348967805,0,18.135358255451717,0,6.761480362537766,21.69537747580111,0.32238805970149254,13.330028496741848,0,18.135358255451717,0,18.135358255451717,8.596627243936933,0.47940298507462686,11.46030846800815
1677,2,0.32558139534883723,0.55,0,6.988217522658612,0,6.988217522658612,21.86182455108639,0.3267622461170848,13.228539060141193,0,6.988217522658612,0,6.988217522658612,22.07668452584596,0.32577565632458233,13.099793117097057,0,6.988217522658612,0,6.988217522658612,31.578072946658853,0.318019093078759,12.991293062530145,0,18.36261682242991,0,6.988217522658612,22.022581235535817,0.32238805970149254,13.131975625697523,0,18.36261682242991,0,18.36261682242991,9.03070496673615,0.47940298507462686,10.909447309251073
